,status,ts,ans,confidence
0,EXP_START,1676801354.170043,-1,-1
1,TE1_START,1676801422.584646,-1,-1
2,TE1_END&CONF1_START,1676801513.445233,5,-1
0,CONF1_END&TE2_START,1676801515.213148,-1,5
4,TE2_END&CONF2_START,1676801650.110559,4,-1
0,CONF2_END&TE3_START,1676801653.119241,-1,1
6,TE3_END&CONF3_START,1676801735.857539,2,-1
0,CONF3_END&TE4_START,1676801737.514614,-1,5
8,TE4_END&CONF4_START,1676801807.463295,1,-1
0,CONF4_END&TE5_START,1676801809.227039,-1,5
10,TE5_END&CONF5_START,1676801844.319988,1,-1
0,CONF5_END,1676801846.658518,-1,5
