,status,ts,ans,confidence
0,EXP_START,1676360381.89873,-1,-1
1,TE1_START,1676360440.525491,-1,-1
2,TE1_END&CONF1_START,1676360482.843088,4,-1
0,CONF1_END&TE2_START,1676360488.307326,-1,1
4,TE2_END&CONF2_START,1676360553.794162,4,-1
0,CONF2_END&TE3_START,1676360556.842727,-1,3
6,TE3_END&CONF3_START,1676360617.595489,1,-1
0,CONF3_END&TE4_START,1676360620.459141,-1,3
8,TE4_END&CONF4_START,1676360722.762409,2,-1
0,CONF4_END&TE5_START,1676360725.403011,-1,1
10,TE5_END&CONF5_START,1676360784.984508,5,-1
0,CONF5_END,1676360786.62588,-1,5
