,status,ts,ans,confidence
0,EXP_START,1676364678.122107,-1,-1
1,TE1_START,1676364695.140676,-1,-1
2,TE1_END&CONF1_START,1676364782.224761,4,-1
0,CONF1_END&TE2_START,1676364785.097916,-1,4
4,TE2_END&CONF2_START,1676364858.611168,2,-1
0,CONF2_END&TE3_START,1676364860.05172,-1,5
6,TE3_END&CONF3_START,1676365171.85835,1,-1
0,CONF3_END&TE4_START,1676365173.713709,-1,5
8,TE4_END&CONF4_START,1676365245.277919,4,-1
0,CONF4_END&TE5_START,1676365247.245861,-1,5
10,TE5_END&CONF5_START,1676365429.93231,5,-1
0,CONF5_END,1676365432.772365,-1,4
