,status,ts,ans,confidence
0,EXP_START,1676878133.185999,-1,-1
1,TE1_START,1676878219.560517,-1,-1
2,TE1_END&CONF1_START,1676878258.791787,3,-1
0,CONF1_END&TE2_START,1676878260.456166,-1,4
4,TE2_END&CONF2_START,1676878312.747012,2,-1
0,CONF2_END&TE3_START,1676878314.530416,-1,5
6,TE3_END&CONF3_START,1676878411.396358,4,-1
0,CONF3_END&TE4_START,1676878413.195769,-1,4
8,TE4_END&CONF4_START,1676878448.960225,4,-1
0,CONF4_END&TE5_START,1676878450.551573,-1,2
10,TE5_END&CONF5_START,1676878485.735599,1,-1
0,CONF5_END,1676878489.217388,-1,1
