,status,ts,ans,confidence
0,EXP_START,1676510278.269911,-1,-1
1,TE1_START,1676510392.272195,-1,-1
2,TE1_END&CONF1_START,1676510466.867189,1,-1
0,CONF1_END&TE2_START,1676510468.635425,-1,4
4,TE2_END&CONF2_START,1676510598.235953,1,-1
0,CONF2_END&TE3_START,1676510600.949571,-1,3
6,TE3_END&CONF3_START,1676510681.641129,4,-1
0,CONF3_END&TE4_START,1676510684.248719,-1,5
8,TE4_END&CONF4_START,1676510781.333715,4,-1
0,CONF4_END&TE5_START,1676510783.132122,-1,5
10,TE5_END&CONF5_START,1676510811.626578,3,-1
0,CONF5_END,1676510813.074921,-1,5
