,status,ts,ans,confidence
0,EXP_START,1676446683.684038,-1,-1
1,TE1_START,1676446797.968434,-1,-1
2,TE1_END&CONF1_START,1676446862.96816,4,-1
0,CONF1_END&TE2_START,1676446865.096646,-1,3
4,TE2_END&CONF2_START,1676446891.86771,5,-1
0,CONF2_END&TE3_START,1676446893.837154,-1,5
6,TE3_END&CONF3_START,1676446922.938839,4,-1
0,CONF3_END&TE4_START,1676446925.090327,-1,4
8,TE4_END&CONF4_START,1676447036.998676,4,-1
0,CONF4_END&TE5_START,1676447039.119158,-1,3
10,TE5_END&CONF5_START,1676447123.946382,2,-1
0,CONF5_END,1676447125.995845,-1,4
