,status,ts,ans,confidence
0,EXP_START,1676505892.838049,-1,-1
1,TE1_START,1676506120.056729,-1,-1
2,TE1_END&CONF1_START,1676506260.195884,3,-1
0,CONF1_END&TE2_START,1676506262.355373,-1,5
4,TE2_END&CONF2_START,1676506306.746428,4,-1
0,CONF2_END&TE3_START,1676506308.905917,-1,5
6,TE3_END&CONF3_START,1676506369.826136,4,-1
0,CONF3_END&TE4_START,1676506371.331498,-1,5
8,TE4_END&CONF4_START,1676506501.684026,5,-1
0,CONF4_END&TE5_START,1676506503.37941,-1,5
10,TE5_END&CONF5_START,1676506597.016621,4,-1
0,CONF5_END,1676506598.943867,-1,4
