,status,ts,ans,confidence
0,EXP_START,1676882128.449814,-1,-1
1,TE1_START,1676882244.681133,-1,-1
2,TE1_END&CONF1_START,1676882280.695653,1,-1
0,CONF1_END&TE2_START,1676882283.349247,-1,4
4,TE2_END&CONF2_START,1676882340.39617,5,-1
0,CONF2_END&TE3_START,1676882343.348599,-1,3
6,TE3_END&CONF3_START,1676882356.02247,5,-1
0,CONF3_END&TE4_START,1676882357.790074,-1,5
8,TE4_END&CONF4_START,1676882417.353569,2,-1
0,CONF4_END&TE5_START,1676882419.782479,-1,5
10,TE5_END&CONF5_START,1676882459.591959,4,-1
0,CONF5_END,1676882461.031288,-1,5
