,status,ts,ans,confidence
0,EXP_START,1676621652.296276,-1,-1
1,TE1_START,1676621804.750481,-1,-1
2,TE1_END&CONF1_START,1676621889.591699,5,-1
0,CONF1_END&TE2_START,1676621894.638842,-1,4
4,TE2_END&CONF2_START,1676622077.222289,4,-1
0,CONF2_END&TE3_START,1676622079.38278,-1,2
6,TE3_END&CONF3_START,1676622152.306301,2,-1
0,CONF3_END&TE4_START,1676622154.402776,-1,4
8,TE4_END&CONF4_START,1676622247.574881,1,-1
0,CONF4_END&TE5_START,1676622249.671631,-1,4
10,TE5_END&CONF5_START,1676622305.624635,3,-1
0,CONF5_END,1676622307.567171,-1,2
