,status,ts,ans,confidence
0,EXP_START,1676354557.668535,-1,-1
1,TE1_START,1676354607.890837,-1,-1
2,TE1_END&CONF1_START,1676354651.940818,4,-1
0,CONF1_END&TE2_START,1676354659.740571,-1,2
4,TE2_END&CONF2_START,1676354715.356198,3,-1
0,CONF2_END&TE3_START,1676354721.068899,-1,2
6,TE3_END&CONF3_START,1676354770.009646,5,-1
0,CONF3_END&TE4_START,1676354773.410547,-1,1
8,TE4_END&CONF4_START,1676354836.58486,5,-1
0,CONF4_END&TE5_START,1676354839.714569,-1,1
10,TE5_END&CONF5_START,1676354885.010833,4,-1
0,CONF5_END,1676354888.443161,-1,1
