,status,ts,ans,confidence
0,EXP_START,1676872096.909475,-1,-1
1,TE1_START,1676872285.072973,-1,-1
2,TE1_END&CONF1_START,1676872318.358518,1,-1
0,CONF1_END&TE2_START,1676872320.926549,-1,3
4,TE2_END&CONF2_START,1676872361.088681,4,-1
0,CONF2_END&TE3_START,1676872362.802493,-1,4
6,TE3_END&CONF3_START,1676872388.567645,5,-1
0,CONF3_END&TE4_START,1676872391.727949,-1,4
8,TE4_END&CONF4_START,1676872441.183152,4,-1
0,CONF4_END&TE5_START,1676872443.806746,-1,5
10,TE5_END&CONF5_START,1676872495.069358,4,-1
0,CONF5_END,1676872496.78175,-1,4
