,status,ts,ans,confidence
0,EXP_START,1676445916.067064,-1,-1
1,TE1_START,1676446087.555391,-1,-1
2,TE1_END&CONF1_START,1676446149.370398,4,-1
0,CONF1_END&TE2_START,1676446151.322637,-1,4
4,TE2_END&CONF2_START,1676446184.734206,3,-1
0,CONF2_END&TE3_START,1676446186.990717,-1,5
6,TE3_END&CONF3_START,1676446257.585709,1,-1
0,CONF3_END&TE4_START,1676446260.6334,-1,4
8,TE4_END&CONF4_START,1676446283.428069,5,-1
0,CONF4_END&TE5_START,1676446286.523587,-1,4
10,TE5_END&CONF5_START,1676446337.764195,4,-1
0,CONF5_END,1676446340.643855,-1,5
