,status,ts,ans,confidence
0,EXP_START,1676617659.358808,-1,-1
1,TE1_START,1676617674.349773,-1,-1
2,TE1_END&CONF1_START,1676617766.983412,4,-1
0,CONF1_END&TE2_START,1676617771.104347,-1,2
4,TE2_END&CONF2_START,1676617849.6212,4,-1
0,CONF2_END&TE3_START,1676617851.772996,-1,3
6,TE3_END&CONF3_START,1676617894.458664,3,-1
0,CONF3_END&TE4_START,1676617896.323086,-1,4
8,TE4_END&CONF4_START,1676617996.031639,3,-1
0,CONF4_END&TE5_START,1676617998.208139,-1,1
10,TE5_END&CONF5_START,1676618050.518991,2,-1
0,CONF5_END,1676618053.006932,-1,2
