,status,ts,ans,confidence
0,EXP_START,1676867934.299299,-1,-1
1,TE1_START,1676867956.600967,-1,-1
2,TE1_END&CONF1_START,1676867996.077911,4,-1
0,CONF1_END&TE2_START,1676867997.89633,-1,2
4,TE2_END&CONF2_START,1676868082.241392,1,-1
0,CONF2_END&TE3_START,1676868084.264802,-1,3
6,TE3_END&CONF3_START,1676868144.797523,4,-1
0,CONF3_END&TE4_START,1676868148.105885,-1,3
8,TE4_END&CONF4_START,1676868254.583513,2,-1
0,CONF4_END&TE5_START,1676868258.320373,-1,2
10,TE5_END&CONF5_START,1676868439.976641,1,-1
0,CONF5_END,1676868442.368365,-1,1
