,status,ts,ans,confidence
0,EXP_START,1676358854.026696,-1,-1
1,TE1_START,1676358880.442839,-1,-1
2,TE1_END&CONF1_START,1676358929.799024,5,-1
0,CONF1_END&TE2_START,1676358932.142642,-1,5
4,TE2_END&CONF2_START,1676358973.308967,2,-1
0,CONF2_END&TE3_START,1676358975.429447,-1,4
6,TE3_END&CONF3_START,1676359148.416641,2,-1
0,CONF3_END&TE4_START,1676359150.88247,-1,4
8,TE4_END&CONF4_START,1676359235.276935,3,-1
0,CONF4_END&TE5_START,1676359237.893961,-1,3
10,TE5_END&CONF5_START,1676359331.688904,4,-1
0,CONF5_END,1676359334.297495,-1,4
