,status,ts,ans,confidence
0,EXP_START,1676441664.431274,-1,-1
1,TE1_START,1676441684.880912,-1,-1
2,TE1_END&CONF1_START,1676441739.392259,4,-1
0,CONF1_END&TE2_START,1676441741.83982,-1,1
4,TE2_END&CONF2_START,1676441769.716136,4,-1
0,CONF2_END&TE3_START,1676441771.629614,-1,4
6,TE3_END&CONF3_START,1676441828.825399,5,-1
0,CONF3_END&TE4_START,1676441830.858046,-1,2
8,TE4_END&CONF4_START,1676441892.482004,2,-1
0,CONF4_END&TE5_START,1676441895.556702,-1,1
10,TE5_END&CONF5_START,1676442036.276962,4,-1
0,CONF5_END,1676442038.805547,-1,1
