,status,ts,ans,confidence
0,EXP_START,1676378104.066745,-1,-1
1,TE1_START,1676378180.121806,-1,-1
2,TE1_END&CONF1_START,1676378194.387406,2,-1
0,CONF1_END&TE2_START,1676378197.780305,-1,5
4,TE2_END&CONF2_START,1676378253.379433,2,-1
0,CONF2_END&TE3_START,1676378255.227217,-1,5
6,TE3_END&CONF3_START,1676378449.430208,5,-1
0,CONF3_END&TE4_START,1676378451.621666,-1,2
8,TE4_END&CONF4_START,1676378513.783746,3,-1
0,CONF4_END&TE5_START,1676378516.575411,-1,3
10,TE5_END&CONF5_START,1676378673.963064,1,-1
0,CONF5_END,1676378677.052217,-1,2
