,status,ts,ans,confidence
0,EXP_START,1676896566.552743,-1,-1
1,TE1_START,1676896682.213557,-1,-1
2,TE1_END&CONF1_START,1676896723.975022,1,-1
0,CONF1_END&TE2_START,1676896726.335704,-1,4
4,TE2_END&CONF2_START,1676896768.439247,4,-1
0,CONF2_END&TE3_START,1676896771.249884,-1,3
6,TE3_END&CONF3_START,1676896805.079547,5,-1
0,CONF3_END&TE4_START,1676896806.739924,-1,3
8,TE4_END&CONF4_START,1676896913.856354,4,-1
0,CONF4_END&TE5_START,1676896915.775788,-1,3
10,TE5_END&CONF5_START,1676896992.862251,1,-1
0,CONF5_END,1676896994.463088,-1,3
