,status,ts,ans,confidence
0,EXP_START,1676464869.027633,-1,-1
1,TE1_START,1676465092.014382,-1,-1
2,TE1_END&CONF1_START,1676465199.666162,4,-1
0,CONF1_END&TE2_START,1676465203.489536,-1,3
4,TE2_END&CONF2_START,1676465253.774927,3,-1
0,CONF2_END&TE3_START,1676465255.510319,-1,4
6,TE3_END&CONF3_START,1676465318.696632,3,-1
0,CONF3_END&TE4_START,1676465320.433027,-1,3
8,TE4_END&CONF4_START,1676465365.64727,5,-1
0,CONF4_END&TE5_START,1676465367.486691,-1,3
10,TE5_END&CONF5_START,1676465448.269812,4,-1
0,CONF5_END,1676465449.862176,-1,4
