,status,ts,ans,confidence
0,EXP_START,1676633166.681472,-1,-1
1,TE1_START,1676633805.284928,-1,-1
2,TE1_END&CONF1_START,1676633864.508325,4,-1
0,CONF1_END&TE2_START,1676633867.541467,-1,2
4,TE2_END&CONF2_START,1676633925.148518,5,-1
0,CONF2_END&TE3_START,1676633927.76411,-1,3
6,TE3_END&CONF3_START,1676633992.339746,5,-1
0,CONF3_END&TE4_START,1676633994.957747,-1,3
8,TE4_END&CONF4_START,1676634083.359152,5,-1
0,CONF4_END&TE5_START,1676634085.063543,-1,3
10,TE5_END&CONF5_START,1676634110.197635,2,-1
0,CONF5_END,1676634112.412145,-1,3
