,status,ts,ans,confidence
0,EXP_START,1676892429.199092,-1,-1
1,TE1_START,1676892544.736507,-1,-1
2,TE1_END&CONF1_START,1676892592.052227,4,-1
0,CONF1_END&TE2_START,1676892595.347972,-1,2
4,TE2_END&CONF2_START,1676892677.20693,1,-1
0,CONF2_END&TE3_START,1676892679.055352,-1,2
6,TE3_END&CONF3_START,1676892744.856282,4,-1
0,CONF3_END&TE4_START,1676892746.480654,-1,3
8,TE4_END&CONF4_START,1676892845.502084,5,-1
0,CONF4_END&TE5_START,1676892847.493536,-1,2
10,TE5_END&CONF5_START,1676892918.294577,3,-1
0,CONF5_END,1676892921.622453,-1,1
