,status,ts,ans,confidence
0,EXP_START,1676460935.664905,-1,-1
1,TE1_START,1676460950.292224,-1,-1
2,TE1_END&CONF1_START,1676460988.86202,4,-1
0,CONF1_END&TE2_START,1676460990.957977,-1,3
4,TE2_END&CONF2_START,1676461035.828383,4,-1
0,CONF2_END&TE3_START,1676461037.699815,-1,4
6,TE3_END&CONF3_START,1676461065.159095,5,-1
0,CONF3_END&TE4_START,1676461066.887485,-1,3
8,TE4_END&CONF4_START,1676461146.27447,3,-1
0,CONF4_END&TE5_START,1676461147.938847,-1,3
10,TE5_END&CONF5_START,1676461266.122583,5,-1
0,CONF5_END,1676461268.578541,-1,2
