,status,ts,ans,confidence
0,EXP_START,1676638031.737705,-1,-1
1,TE1_START,1676638106.47474,-1,-1
2,TE1_END&CONF1_START,1676638210.688321,5,-1
0,CONF1_END&TE2_START,1676638212.26468,-1,4
4,TE2_END&CONF2_START,1676638348.149461,4,-1
0,CONF2_END&TE3_START,1676638349.808975,-1,3
6,TE3_END&CONF3_START,1676638418.03343,3,-1
0,CONF3_END&TE4_START,1676638419.761822,-1,3
8,TE4_END&CONF4_START,1676638451.471006,1,-1
0,CONF4_END&TE5_START,1676638453.026359,-1,3
10,TE5_END&CONF5_START,1676638503.503434,1,-1
0,CONF5_END,1676638504.93214,-1,3
