,status,ts,ans,confidence
0,EXP_START,1676374072.347279,-1,-1
1,TE1_START,1676374094.539598,-1,-1
2,TE1_END&CONF1_START,1676374174.581728,2,-1
0,CONF1_END&TE2_START,1676374181.087328,-1,2
4,TE2_END&CONF2_START,1676374267.082769,4,-1
0,CONF2_END&TE3_START,1676374270.033946,-1,2
6,TE3_END&CONF3_START,1676374310.176325,3,-1
0,CONF3_END&TE4_START,1676374312.759914,-1,3
8,TE4_END&CONF4_START,1676374383.288892,5,-1
0,CONF4_END&TE5_START,1676374385.009281,-1,3
10,TE5_END&CONF5_START,1676374452.112482,2,-1
0,CONF5_END,1676374454.369993,-1,3
