,status,ts,ans,confidence
0,EXP_START,1677569717.28183,-1,-1
1,TE1_START,1677569723.778175,-1,-1
2,TE1_END&CONF1_START,1677570775.62856,2,-1
0,CONF1_END&TE2_START,1677570778.462489,-1,5
4,TE2_END&CONF2_START,1677570820.627945,5,-1
0,CONF2_END&TE3_START,1677570822.865701,-1,4
6,TE3_END&CONF3_START,1677570844.230238,5,-1
0,CONF3_END&TE4_START,1677570846.210957,-1,5
8,TE4_END&CONF4_START,1677570862.231286,2,-1
0,CONF4_END&TE5_START,1677570864.659742,-1,5
10,TE5_END&CONF5_START,1677570896.612381,5,-1
0,CONF5_END,1677570898.523054,-1,5
