,status,ts,ans,confidence
0,EXP_START,1676373023.271901,-1,-1
1,TE1_START,1676373218.985141,-1,-1
2,TE1_END&CONF1_START,1676373252.308689,4,-1
0,CONF1_END&TE2_START,1676373254.348981,-1,5
4,TE2_END&CONF2_START,1676373314.786672,2,-1
0,CONF2_END&TE3_START,1676373317.154645,-1,5
6,TE3_END&CONF3_START,1676373427.360757,1,-1
0,CONF3_END&TE4_START,1676373430.314429,-1,5
8,TE4_END&CONF4_START,1676373479.167826,3,-1
0,CONF4_END&TE5_START,1676373480.95323,-1,5
10,TE5_END&CONF5_START,1676373550.41932,4,-1
0,CONF5_END,1676373553.00391,-1,5
