,status,ts,ans,confidence
0,EXP_START,1676887228.624025,-1,-1
1,TE1_START,1676887251.773297,-1,-1
2,TE1_END&CONF1_START,1676887298.219324,3,-1
0,CONF1_END&TE2_START,1676887300.340809,-1,3
4,TE2_END&CONF2_START,1676887359.64457,1,-1
0,CONF2_END&TE3_START,1676887361.299946,-1,5
6,TE3_END&CONF3_START,1676887407.609832,4,-1
0,CONF3_END&TE4_START,1676887411.217785,-1,5
8,TE4_END&CONF4_START,1676887444.414616,2,-1
0,CONF4_END&TE5_START,1676887446.031984,-1,3
10,TE5_END&CONF5_START,1676887471.186682,1,-1
0,CONF5_END,1676887472.891174,-1,1
