,status,ts,ans,confidence
0,EXP_START,1676891885.245271,-1,-1
1,TE1_START,1676891987.364416,-1,-1
2,TE1_END&CONF1_START,1676892002.333916,1,-1
0,CONF1_END&TE2_START,1676892003.640278,-1,5
4,TE2_END&CONF2_START,1676892063.494918,4,-1
0,CONF2_END&TE3_START,1676892065.430853,-1,5
6,TE3_END&CONF3_START,1676892074.33587,5,-1
0,CONF3_END&TE4_START,1676892075.583153,-1,5
8,TE4_END&CONF4_START,1676892097.970251,2,-1
0,CONF4_END&TE5_START,1676892099.098505,-1,5
10,TE5_END&CONF5_START,1676892136.574998,4,-1
0,CONF5_END,1676892138.240376,-1,5
