,status,ts,ans,confidence
0,EXP_START,1676628552.709886,-1,-1
1,TE1_START,1676628633.340027,-1,-1
2,TE1_END&CONF1_START,1676628678.827518,2,-1
0,CONF1_END&TE2_START,1676628681.498819,-1,1
4,TE2_END&CONF2_START,1676628740.345154,4,-1
0,CONF2_END&TE3_START,1676628741.416747,-1,5
6,TE3_END&CONF3_START,1676628776.302153,3,-1
0,CONF3_END&TE4_START,1676628778.614677,-1,5
8,TE4_END&CONF4_START,1676628848.680549,5,-1
0,CONF4_END&TE5_START,1676628851.144112,-1,1
10,TE5_END&CONF5_START,1676628873.292348,2,-1
0,CONF5_END,1676628874.901714,-1,3
