,status,ts,ans,confidence
0,EXP_START,1676546101.775384,-1,-1
1,TE1_START,1676546222.432644,-1,-1
2,TE1_END&CONF1_START,1676546281.191951,1,-1
0,CONF1_END&TE2_START,1676546282.990359,-1,2
4,TE2_END&CONF2_START,1676546371.413269,3,-1
0,CONF2_END&TE3_START,1676546372.723761,-1,1
6,TE3_END&CONF3_START,1676546439.82792,4,-1
0,CONF3_END&TE4_START,1676546441.757368,-1,4
8,TE4_END&CONF4_START,1676546507.966115,4,-1
0,CONF4_END&TE5_START,1676546509.902554,-1,4
10,TE5_END&CONF5_START,1676546540.951753,3,-1
0,CONF5_END,1676546542.256231,-1,5
