,status,ts,ans,confidence
0,EXP_START,1676542065.202652,-1,-1
1,TE1_START,1676542220.399807,-1,-1
2,TE1_END&CONF1_START,1676542301.219114,3,-1
0,CONF1_END&TE2_START,1676542304.122774,-1,5
4,TE2_END&CONF2_START,1676542334.718705,1,-1
0,CONF2_END&TE3_START,1676542336.47911,-1,4
6,TE3_END&CONF3_START,1676542386.239382,4,-1
0,CONF3_END&TE4_START,1676542387.749767,-1,3
8,TE4_END&CONF4_START,1676542489.85198,5,-1
0,CONF4_END&TE5_START,1676542491.235804,-1,4
10,TE5_END&CONF5_START,1676542569.108446,4,-1
0,CONF5_END,1676542571.649896,-1,2
