,status,ts,ans,confidence
0,EXP_START,1676459611.628448,-1,-1
1,TE1_START,1676459725.757945,-1,-1
2,TE1_END&CONF1_START,1676459799.608676,4,-1
0,CONF1_END&TE2_START,1676459800.951981,-1,5
4,TE2_END&CONF2_START,1676459819.587207,3,-1
0,CONF2_END&TE3_START,1676459821.372085,-1,5
6,TE3_END&CONF3_START,1676459862.297363,1,-1
0,CONF3_END&TE4_START,1676459864.248775,-1,5
8,TE4_END&CONF4_START,1676459889.236463,5,-1
0,CONF4_END&TE5_START,1676459891.275925,-1,5
10,TE5_END&CONF5_START,1676459931.611715,4,-1
0,CONF5_END,1676459932.980148,-1,5
