,status,ts,ans,confidence
0,EXP_START,1676368948.987126,-1,-1
1,TE1_START,1676368996.83632,-1,-1
2,TE1_END&CONF1_START,1676369135.140958,1,-1
0,CONF1_END&TE2_START,1676369140.590198,-1,2
4,TE2_END&CONF2_START,1676369182.658537,1,-1
0,CONF2_END&TE3_START,1676369184.419626,-1,3
6,TE3_END&CONF3_START,1676369252.732821,2,-1
0,CONF3_END&TE4_START,1676369255.07663,-1,2
8,TE4_END&CONF4_START,1676369342.976553,5,-1
0,CONF4_END&TE5_START,1676369345.03502,-1,3
10,TE5_END&CONF5_START,1676369423.429259,2,-1
0,CONF5_END,1676369425.076639,-1,1
