,status,ts,ans,confidence
0,EXP_START,1676791320.205904,-1,-1
1,TE1_START,1676791333.514063,-1,-1
2,TE1_END&CONF1_START,1676791434.135548,4,-1
0,CONF1_END&TE2_START,1676791436.28919,-1,2
4,TE2_END&CONF2_START,1676791586.644272,4,-1
0,CONF2_END&TE3_START,1676791590.380117,-1,1
6,TE3_END&CONF3_START,1676791681.647791,3,-1
0,CONF3_END&TE4_START,1676791683.267435,-1,3
8,TE4_END&CONF4_START,1676791800.448979,4,-1
0,CONF4_END&TE5_START,1676791802.273395,-1,1
10,TE5_END&CONF5_START,1676791830.445777,2,-1
0,CONF5_END,1676791833.404447,-1,3
