,status,ts,ans,confidence
0,EXP_START,1676426954.420688,-1,-1
1,TE1_START,1676426976.606632,-1,-1
2,TE1_END&CONF1_START,1676427099.758533,1,-1
0,CONF1_END&TE2_START,1676427101.855009,-1,2
4,TE2_END&CONF2_START,1676427144.677275,4,-1
0,CONF2_END&TE3_START,1676427147.13283,-1,4
6,TE3_END&CONF3_START,1676427230.855795,4,-1
0,CONF3_END&TE4_START,1676427233.970616,-1,2
8,TE4_END&CONF4_START,1676427347.046803,2,-1
0,CONF4_END&TE5_START,1676427349.263308,-1,3
10,TE5_END&CONF5_START,1676427463.831074,2,-1
0,CONF5_END,1676427465.478072,-1,1
