,status,ts,ans,confidence
0,EXP_START,1676431330.169851,-1,-1
1,TE1_START,1676431355.240482,-1,-1
2,TE1_END&CONF1_START,1676431400.769849,4,-1
0,CONF1_END&TE2_START,1676431403.547041,-1,5
4,TE2_END&CONF2_START,1676431473.883389,3,-1
0,CONF2_END&TE3_START,1676431476.428974,-1,3
6,TE3_END&CONF3_START,1676431587.020071,3,-1
0,CONF3_END&TE4_START,1676431588.757465,-1,3
8,TE4_END&CONF4_START,1676431642.275603,5,-1
0,CONF4_END&TE5_START,1676431644.404086,-1,4
10,TE5_END&CONF5_START,1676431761.593659,4,-1
0,CONF5_END,1676431763.858172,-1,3
