,status,ts,ans,confidence
0,EXP_START,1676512624.242603,-1,-1
1,TE1_START,1676512656.711549,-1,-1
2,TE1_END&CONF1_START,1676512762.72255,3,-1
0,CONF1_END&TE2_START,1676512764.761567,-1,3
4,TE2_END&CONF2_START,1676512853.759978,2,-1
0,CONF2_END&TE3_START,1676512856.047718,-1,1
6,TE3_END&CONF3_START,1676512901.06305,4,-1
0,CONF3_END&TE4_START,1676512902.726912,-1,3
8,TE4_END&CONF4_START,1676512988.43452,5,-1
0,CONF4_END&TE5_START,1676512990.55431,-1,2
10,TE5_END&CONF5_START,1676513083.581386,3,-1
0,CONF5_END,1676513085.143564,-1,2
