,status,ts,ans,confidence
0,EXP_START,1676862530.995627,-1,-1
1,TE1_START,1676862660.267721,-1,-1
2,TE1_END&CONF1_START,1676862739.295628,3,-1
0,CONF1_END&TE2_START,1676862741.81125,-1,1
4,TE2_END&CONF2_START,1676862790.973346,4,-1
0,CONF2_END&TE3_START,1676862793.172846,-1,5
6,TE3_END&CONF3_START,1676862835.203555,5,-1
0,CONF3_END&TE4_START,1676862837.487071,-1,4
8,TE4_END&CONF4_START,1676862917.710244,3,-1
0,CONF4_END&TE5_START,1676862919.521654,-1,3
10,TE5_END&CONF5_START,1676862958.17541,4,-1
0,CONF5_END,1676862959.781952,-1,3
