,status,ts,ans,confidence
0,EXP_START,1676338854.887949,-1,-1
1,TE1_START,1676338877.666946,-1,-1
2,TE1_END&CONF1_START,1676338929.05259,1,-1
0,CONF1_END&TE2_START,1676338933.615626,-1,3
4,TE2_END&CONF2_START,1676339018.721905,1,-1
0,CONF2_END&TE3_START,1676339020.419255,-1,3
6,TE3_END&CONF3_START,1676339084.548783,1,-1
0,CONF3_END&TE4_START,1676339086.606251,-1,3
8,TE4_END&CONF4_START,1676339152.33314,2,-1
0,CONF4_END&TE5_START,1676339154.997248,-1,3
10,TE5_END&CONF5_START,1676339236.231649,5,-1
0,CONF5_END,1676339239.553374,-1,1
