,status,ts,ans,confidence
0,EXP_START,1676342808.509104,-1,-1
1,TE1_START,1676342953.092873,-1,-1
2,TE1_END&CONF1_START,1676343067.760856,4,-1
0,CONF1_END&TE2_START,1676343071.341431,-1,4
4,TE2_END&CONF2_START,1676343160.315585,4,-1
0,CONF2_END&TE3_START,1676343162.62409,-1,4
6,TE3_END&CONF3_START,1676343350.500649,2,-1
0,CONF3_END&TE4_START,1676343352.443512,-1,1
8,TE4_END&CONF4_START,1676343426.972108,3,-1
0,CONF4_END&TE5_START,1676343429.341192,-1,5
10,TE5_END&CONF5_START,1676343549.893649,4,-1
0,CONF5_END,1676343552.192169,-1,4
