,status,ts,ans,confidence
0,EXP_START,1676795505.163824,-1,-1
1,TE1_START,1676795524.23797,-1,-1
2,TE1_END&CONF1_START,1676795647.537902,5,-1
0,CONF1_END&TE2_START,1676795650.411556,-1,5
4,TE2_END&CONF2_START,1676795991.063782,4,-1
0,CONF2_END&TE3_START,1676795992.808177,-1,1
6,TE3_END&CONF3_START,1676796091.509384,5,-1
0,CONF3_END&TE4_START,1676796093.73352,-1,2
8,TE4_END&CONF4_START,1676796173.376814,2,-1
0,CONF4_END&TE5_START,1676796174.992685,-1,4
10,TE5_END&CONF5_START,1676796233.319897,3,-1
0,CONF5_END,1676796235.569412,-1,5
