,status,ts,ans,confidence
0,EXP_START,1676608910.908778,-1,-1
1,TE1_START,1676608978.782757,-1,-1
2,TE1_END&CONF1_START,1676609045.534345,2,-1
0,CONF1_END&TE2_START,1676609046.950386,-1,4
4,TE2_END&CONF2_START,1676609136.987239,4,-1
0,CONF2_END&TE3_START,1676609139.682849,-1,4
6,TE3_END&CONF3_START,1676609185.313185,2,-1
0,CONF3_END&TE4_START,1676609187.457149,-1,4
8,TE4_END&CONF4_START,1676609216.372964,1,-1
0,CONF4_END&TE5_START,1676609218.132362,-1,4
10,TE5_END&CONF5_START,1676609235.209234,1,-1
0,CONF5_END,1676609236.713576,-1,5
