,status,ts,ans,confidence
0,EXP_START,1676876931.273847,-1,-1
1,TE1_START,1676877080.70816,-1,-1
2,TE1_END&CONF1_START,1676877105.420008,1,-1
0,CONF1_END&TE2_START,1676877107.923848,-1,3
4,TE2_END&CONF2_START,1676877152.889095,4,-1
0,CONF2_END&TE3_START,1676877154.873546,-1,2
6,TE3_END&CONF3_START,1676877203.240478,5,-1
0,CONF3_END&TE4_START,1676877205.856247,-1,3
8,TE4_END&CONF4_START,1676877261.007243,3,-1
0,CONF4_END&TE5_START,1676877262.568596,-1,4
10,TE5_END&CONF5_START,1676877332.401423,4,-1
0,CONF5_END,1676877334.545908,-1,4
