,status,ts,ans,confidence
0,EXP_START,1676521943.929366,-1,-1
1,TE1_START,1676521967.773787,-1,-1
2,TE1_END&CONF1_START,1676522034.283853,3,-1
0,CONF1_END&TE2_START,1676522035.706184,-1,5
4,TE2_END&CONF2_START,1676522054.629472,4,-1
0,CONF2_END&TE3_START,1676522056.037791,-1,4
6,TE3_END&CONF3_START,1676522097.244126,4,-1
0,CONF3_END&TE4_START,1676522099.154564,-1,4
8,TE4_END&CONF4_START,1676522181.548229,5,-1
0,CONF4_END&TE5_START,1676522183.852065,-1,4
10,TE5_END&CONF5_START,1676522217.168612,2,-1
0,CONF5_END,1676522219.033109,-1,2
