,status,ts,ans,confidence
0,EXP_START,1676435614.739971,-1,-1
1,TE1_START,1676435637.746385,-1,-1
2,TE1_END&CONF1_START,1676435666.278855,1,-1
0,CONF1_END&TE2_START,1676435667.998247,-1,4
4,TE2_END&CONF2_START,1676435684.953109,4,-1
0,CONF2_END&TE3_START,1676435686.602085,-1,5
6,TE3_END&CONF3_START,1676435712.612968,4,-1
0,CONF3_END&TE4_START,1676435717.381254,-1,3
8,TE4_END&CONF4_START,1676435772.988851,3,-1
0,CONF4_END&TE5_START,1676435774.91029,-1,3
10,TE5_END&CONF5_START,1676435857.853077,4,-1
0,CONF5_END,1676435859.721503,-1,3
