,status,ts,ans,confidence
0,EXP_START,1676605072.153389,-1,-1
1,TE1_START,1676605136.332305,-1,-1
2,TE1_END&CONF1_START,1676605178.202378,4,-1
0,CONF1_END&TE2_START,1676605180.114811,-1,4
4,TE2_END&CONF2_START,1676605223.735845,5,-1
0,CONF2_END&TE3_START,1676605225.264192,-1,2
6,TE3_END&CONF3_START,1676605254.53082,3,-1
0,CONF3_END&TE4_START,1676605256.306227,-1,3
8,TE4_END&CONF4_START,1676605325.927002,4,-1
0,CONF4_END&TE5_START,1676605327.911593,-1,1
10,TE5_END&CONF5_START,1676605367.907155,2,-1
0,CONF5_END,1676605369.528992,-1,4
