,status,ts,ans,confidence
0,EXP_START,1676439668.931469,-1,-1
1,TE1_START,1676439688.628412,-1,-1
2,TE1_END&CONF1_START,1676439709.619186,1,-1
0,CONF1_END&TE2_START,1676439711.31457,-1,5
4,TE2_END&CONF2_START,1676439737.158859,3,-1
0,CONF2_END&TE3_START,1676439738.527169,-1,5
6,TE3_END&CONF3_START,1676439779.531461,1,-1
0,CONF3_END&TE4_START,1676439781.099907,-1,3
8,TE4_END&CONF4_START,1676439803.95971,5,-1
0,CONF4_END&TE5_START,1676439805.375633,-1,4
10,TE5_END&CONF5_START,1676439865.415233,1,-1
0,CONF5_END,1676439866.926824,-1,3
