,status,ts,ans,confidence
0,EXP_START,1676333367.537026,-1,-1
1,TE1_START,1676333393.592997,-1,-1
2,TE1_END&CONF1_START,1676333447.327669,3,-1
0,CONF1_END&TE2_START,1676333456.352112,-1,2
4,TE2_END&CONF2_START,1676333536.018134,4,-1
0,CONF2_END&TE3_START,1676333538.091641,-1,2
6,TE3_END&CONF3_START,1676333596.186241,1,-1
0,CONF3_END&TE4_START,1676333597.761599,-1,3
8,TE4_END&CONF4_START,1676333659.072741,4,-1
0,CONF4_END&TE5_START,1676333661.161213,-1,1
10,TE5_END&CONF5_START,1676333727.818328,2,-1
0,CONF5_END,1676333729.290661,-1,1
