,status,ts,ans,confidence
0,EXP_START,1676337812.246449,-1,-1
1,TE1_START,1676337830.074174,-1,-1
2,TE1_END&CONF1_START,1676337888.846238,4,-1
0,CONF1_END&TE2_START,1676337890.542635,-1,5
4,TE2_END&CONF2_START,1676337999.939415,2,-1
0,CONF2_END&TE3_START,1676338002.308964,-1,3
6,TE3_END&CONF3_START,1676338118.748443,2,-1
0,CONF3_END&TE4_START,1676338121.901901,-1,4
8,TE4_END&CONF4_START,1676338170.363059,3,-1
0,CONF4_END&TE5_START,1676338171.563331,-1,4
10,TE5_END&CONF5_START,1676338204.527797,2,-1
0,CONF5_END,1676338205.984542,-1,4
